id_venda;produto;categoria;preco;custo;quantidade;data_venda;ValorDaVenda;ValorDoCusto;ValorDoLucro;mes
1;Meia;Roupas;12.98;6.04;2;2025-01-01;25.96;12.08;13.88;Janeiro
2;Boné;Acessórios;21.45;12.14;2;2025-01-02;42.9;24.28;18.619999999999997;Janeiro
3;Bermuda;Roupas;101.18;62.18;4;2025-01-03;404.72;248.72;156.00000000000003;Janeiro
4;Carteira;Acessórios;233.08;107.6;4;2025-01-04;932.32;430.4;501.9200000000001;Janeiro
5;Bolsa;Acessórios;210.45;120.43;1;2025-01-05;210.45;120.43;90.01999999999998;Janeiro
6;Relógio;Acessórios;250.95;161.24;5;2025-01-06;1254.75;806.2;448.54999999999995;Janeiro
7;Bermuda;Roupas;41.06;22.21;5;2025-01-07;205.3;111.05000000000001;94.25;Janeiro
8;Camiseta;Roupas;40.5;30.08;2;2025-01-08;81.0;60.16;20.840000000000003;Janeiro
9;Meia;Roupas;11.67;5.51;5;2025-01-09;58.35;27.549999999999997;30.800000000000004;Janeiro
10;Cinto;Acessórios;26.29;18.38;2;2025-01-10;52.58;36.76;15.82;Janeiro
11;Tênis;Calçados;412.31;188.52;1;2025-01-11;412.31;188.52;223.79;Janeiro
12;Meia;Roupas;9.87;5.18;4;2025-01-12;39.48;20.72;18.759999999999998;Janeiro
13;Bolsa;Acessórios;367.55;242.79;4;2025-01-13;1470.2;971.16;499.0400000000001;Janeiro
14;Bolsa;Acessórios;382.91;234.77;4;2025-01-14;1531.64;939.08;592.5600000000001;Janeiro
15;Relógio;Acessórios;468.89;250.72;5;2025-01-15;2344.45;1253.6;1090.85;Janeiro
16;Camiseta;Roupas;42.92;31.07;1;2025-01-16;42.92;31.07;11.850000000000001;Janeiro
17;Boné;Acessórios;34.74;21.87;5;2025-01-17;173.70000000000002;109.35000000000001;64.35000000000001;Janeiro
18;Relógio;Acessórios;174.25;130.36;5;2025-01-18;871.25;651.8000000000001;219.44999999999993;Janeiro
19;Relógio;Acessórios;457.48;239.54;1;2025-01-19;457.48;239.54;217.94000000000003;Janeiro
20;Tênis;Calçados;215.39;122.32;1;2025-01-20;215.39;122.32;93.07;Janeiro
21;Jaqueta;Roupas;210.09;111.71;1;2025-01-21;210.09;111.71;98.38000000000001;Janeiro
22;Camiseta;Roupas;38.88;20.23;1;2025-01-22;38.88;20.23;18.650000000000002;Janeiro
23;Calça;Roupas;152.03;70.94;4;2025-01-23;608.12;283.76;324.36;Janeiro
